AvgSpotLen_l	BioSample_s	Experiment_s	InsertSize_l	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s
169	SAMEA1094642	ERX036541	200	AK55_RNA_01_LungCa(LivMets)	2012-08-03	21185	15539	2011-12-19	ERR058695	ERS077419	AK55_LungCancer(LivMets)	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1094643	ERX040276	300	LC_S1_RNA_01	2014-05-16	6906	4783	2011-12-20	ERR062334	ERS079846	LC_S1	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1094643	ERX292039	300	unspecified	2013-08-03	6906	5330	2013-08-09	ERR318891	ERS079846	LC_S1	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1094641	ERX292040	300	unspecified	2013-08-03	8602	6603	2013-08-09	ERR318892	ERS079847	LC_S2	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1094641	ERX040277	300	LC_S2_RNA_01	2013-06-13	8602	6006	2011-12-20	ERR062335	ERS079847	LC_S2	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1094645	ERX040278	300	LC_S3_RNA_01	2013-06-13	10103	7028	2011-12-20	ERR062336	ERS079848	LC_S3	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1094645	ERX292041	300	unspecified	2013-08-03	10103	7724	2013-08-09	ERR318893	ERS079848	LC_S3	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1094646	ERX292042	300	unspecified	2013-08-03	9328	7137	2013-08-09	ERR318894	ERS079849	LC_S4	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1094646	ERX040279	300	LC_S4_RNA_01	2013-06-13	9328	6473	2011-12-20	ERR062337	ERS079849	LC_S4	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1094644	ERX040280	300	LC_S5_RNA_01	2013-06-13	8948	6244	2011-12-20	ERR062338	ERS079850	LC_S5	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1094644	ERX292043	300	unspecified	2013-08-03	8948	6876	2013-08-09	ERR318895	ERS079850	LC_S5	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499361	ERX140350	200	LC_C1_nor_Txn1	2012-09-10	4400	3055	2012-09-10	ERR164473	ERS158730	LC_C1_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499337	ERX140351	200	LC_C2_nor_Txn1	2012-09-10	8095	5635	2012-09-10	ERR164474	ERS158731	LC_C2_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499309	ERX140352	200	LC_C3_nor_Txn1	2012-09-10	7042	4903	2012-09-10	ERR164475	ERS158732	LC_C3_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499301	ERX140353	200	LC_C5_nor_Txn1	2012-09-10	6177	4301	2012-09-10	ERR164476	ERS158733	LC_C5_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499281	ERX140354	200	LC_C7_nor_Txn1	2012-09-10	6901	4804	2012-09-10	ERR164477	ERS158734	LC_C7_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499256	ERX140355	200	LC_C9_nor_Txn1	2012-09-10	8282	5768	2012-09-10	ERR164478	ERS158735	LC_C9_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499243	ERX140356	200	LC_C10_nor_Txn1	2012-09-10	5577	3893	2012-09-10	ERR164479	ERS158736	LC_C10_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499228	ERX140357	200	LC_C11_nor_Txn1	2012-09-11	5785	3962	2012-09-11	ERR164480	ERS158737	LC_C11_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499368	ERX140358	200	LC_C12_nor_Txn1	2012-09-10	5239	3602	2012-09-10	ERR164481	ERS158738	LC_C12_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499356	ERX140359	200	LC_C14_nor_Txn1	2012-09-11	6414	4410	2012-09-11	ERR164482	ERS158739	LC_C14_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499295	ERX140360	200	LC_C16_nor_Txn1	2012-09-10	5852	4004	2012-09-10	ERR164483	ERS158740	LC_C16_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499330	ERX140361	200	LC_C17_nor_Txn1	2012-09-10	6409	4404	2012-09-10	ERR164484	ERS158741	LC_C17_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499304	ERX140362	200	LC_C18_nor_Txn1	2012-09-10	6974	4777	2012-09-10	ERR164485	ERS158742	LC_C18_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499377	ERX140363	200	LC_C19_nor_Txn1	2012-09-10	7283	4996	2012-09-10	ERR164486	ERS158743	LC_C19_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499360	ERX140364	200	LC_C20_nor_Txn1	2012-09-10	6706	4639	2012-09-10	ERR164487	ERS158744	LC_C20_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499259	ERX140365	200	LC_C21_nor_Txn1	2012-09-10	7489	5198	2012-09-10	ERR164488	ERS158745	LC_C21_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499238	ERX140366	200	LC_C22_nor_Txn1	2012-09-10	5734	3990	2012-09-10	ERR164489	ERS158746	LC_C22_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
202	SAMEA1499225	ERX140367	200	LC_C24_nor_Txn1	2012-09-10	5885	4092	2012-09-10	ERR164490	ERS158747	LC_C24_nor	OTHER	PRJEB2784	GMISNU	public	Illumina HiSeq 2000	PAIRED	unspecified	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001058
